name,fickling_result,fickling_category,weights_only_result,fickling_output,weights_only_output
Sheerwin02__DialoGPT-small-isla,False,Severity.LIKELY_SAFE,True,,"Function is atleasdt being called
b'\x80' is the key
b'c' is the key
collections.OrderedDict
TRIGGEREREREDD OREDERED DICT
<module 'collections' from '/home/xyz/benchmarking_patch_testing/.venv/lib/python3.11/site-packages/custom_ordered_dict.py'>
/home/xyz/benchmarking_patch_testing/.venv/lib/python3.11/site-packages/custom_ordered_dict.py
UnpicklingError: Weights only load failed. In PyTorch 2.6, we changed the default value of the `weights_only` argument in `torch.load` from `False` to `True`. Re-running `torch.load` with `weights_only` set to `False` will likely succeed, but it can result in arbitrary code execution. Do it only if you got the file from a trusted source.
Please file an issue with the following so that we can make `weights_only=True` compatible with your use case: WeightsUnpickler error: 

collections.OrderedDict may have been overwritten with a custom implementation, and may have additional functionality that may compromise the environment. Please Ensure the path /home/xyz/benchmarking_patch_testing/.venv/lib/python3.11/site-packages/custom_ordered_dict.py

Check the documentation of torch.load to learn more about types accepted by default with weights_only https://pytorch.org/docs/stable/generated/torch.load.html."
Shike__DialoGPT_medium_harrypotter,False,Severity.LIKELY_SAFE,True,,"Function is atleasdt being called
b'\x80' is the key
b'c' is the key
collections.OrderedDict
TRIGGEREREREDD OREDERED DICT
<module 'collections' from '/home/xyz/benchmarking_patch_testing/.venv/lib/python3.11/site-packages/custom_ordered_dict.py'>
/home/xyz/benchmarking_patch_testing/.venv/lib/python3.11/site-packages/custom_ordered_dict.py
UnpicklingError: Weights only load failed. In PyTorch 2.6, we changed the default value of the `weights_only` argument in `torch.load` from `False` to `True`. Re-running `torch.load` with `weights_only` set to `False` will likely succeed, but it can result in arbitrary code execution. Do it only if you got the file from a trusted source.
Please file an issue with the following so that we can make `weights_only=True` compatible with your use case: WeightsUnpickler error: 

collections.OrderedDict may have been overwritten with a custom implementation, and may have additional functionality that may compromise the environment. Please Ensure the path /home/xyz/benchmarking_patch_testing/.venv/lib/python3.11/site-packages/custom_ordered_dict.py

Check the documentation of torch.load to learn more about types accepted by default with weights_only https://pytorch.org/docs/stable/generated/torch.load.html."
Shinx__DialoGPT-medium-myheroacademia,False,Severity.LIKELY_SAFE,True,,"Function is atleasdt being called
b'\x80' is the key
b'c' is the key
collections.OrderedDict
TRIGGEREREREDD OREDERED DICT
<module 'collections' from '/home/xyz/benchmarking_patch_testing/.venv/lib/python3.11/site-packages/custom_ordered_dict.py'>
/home/xyz/benchmarking_patch_testing/.venv/lib/python3.11/site-packages/custom_ordered_dict.py
UnpicklingError: Weights only load failed. In PyTorch 2.6, we changed the default value of the `weights_only` argument in `torch.load` from `False` to `True`. Re-running `torch.load` with `weights_only` set to `False` will likely succeed, but it can result in arbitrary code execution. Do it only if you got the file from a trusted source.
Please file an issue with the following so that we can make `weights_only=True` compatible with your use case: WeightsUnpickler error: 

collections.OrderedDict may have been overwritten with a custom implementation, and may have additional functionality that may compromise the environment. Please Ensure the path /home/xyz/benchmarking_patch_testing/.venv/lib/python3.11/site-packages/custom_ordered_dict.py

Check the documentation of torch.load to learn more about types accepted by default with weights_only https://pytorch.org/docs/stable/generated/torch.load.html."
ShiroNeko__DialoGPT-small-rick,False,Severity.LIKELY_SAFE,True,,"Function is atleasdt being called
b'\x80' is the key
b'c' is the key
collections.OrderedDict
TRIGGEREREREDD OREDERED DICT
<module 'collections' from '/home/xyz/benchmarking_patch_testing/.venv/lib/python3.11/site-packages/custom_ordered_dict.py'>
/home/xyz/benchmarking_patch_testing/.venv/lib/python3.11/site-packages/custom_ordered_dict.py
UnpicklingError: Weights only load failed. In PyTorch 2.6, we changed the default value of the `weights_only` argument in `torch.load` from `False` to `True`. Re-running `torch.load` with `weights_only` set to `False` will likely succeed, but it can result in arbitrary code execution. Do it only if you got the file from a trusted source.
Please file an issue with the following so that we can make `weights_only=True` compatible with your use case: WeightsUnpickler error: 

collections.OrderedDict may have been overwritten with a custom implementation, and may have additional functionality that may compromise the environment. Please Ensure the path /home/xyz/benchmarking_patch_testing/.venv/lib/python3.11/site-packages/custom_ordered_dict.py

Check the documentation of torch.load to learn more about types accepted by default with weights_only https://pytorch.org/docs/stable/generated/torch.load.html."
Shubham-Kumar-DTU__DialoGPT-small-goku,False,Severity.LIKELY_SAFE,True,,"Function is atleasdt being called
b'\x80' is the key
b'c' is the key
collections.OrderedDict
TRIGGEREREREDD OREDERED DICT
<module 'collections' from '/home/xyz/benchmarking_patch_testing/.venv/lib/python3.11/site-packages/custom_ordered_dict.py'>
/home/xyz/benchmarking_patch_testing/.venv/lib/python3.11/site-packages/custom_ordered_dict.py
UnpicklingError: Weights only load failed. In PyTorch 2.6, we changed the default value of the `weights_only` argument in `torch.load` from `False` to `True`. Re-running `torch.load` with `weights_only` set to `False` will likely succeed, but it can result in arbitrary code execution. Do it only if you got the file from a trusted source.
Please file an issue with the following so that we can make `weights_only=True` compatible with your use case: WeightsUnpickler error: 

collections.OrderedDict may have been overwritten with a custom implementation, and may have additional functionality that may compromise the environment. Please Ensure the path /home/xyz/benchmarking_patch_testing/.venv/lib/python3.11/site-packages/custom_ordered_dict.py

Check the documentation of torch.load to learn more about types accepted by default with weights_only https://pytorch.org/docs/stable/generated/torch.load.html."
Sid51__CB,False,Severity.LIKELY_SAFE,True,,"Function is atleasdt being called
b'\x80' is the key
b'c' is the key
collections.OrderedDict
TRIGGEREREREDD OREDERED DICT
<module 'collections' from '/home/xyz/benchmarking_patch_testing/.venv/lib/python3.11/site-packages/custom_ordered_dict.py'>
/home/xyz/benchmarking_patch_testing/.venv/lib/python3.11/site-packages/custom_ordered_dict.py
UnpicklingError: Weights only load failed. In PyTorch 2.6, we changed the default value of the `weights_only` argument in `torch.load` from `False` to `True`. Re-running `torch.load` with `weights_only` set to `False` will likely succeed, but it can result in arbitrary code execution. Do it only if you got the file from a trusted source.
Please file an issue with the following so that we can make `weights_only=True` compatible with your use case: WeightsUnpickler error: 

collections.OrderedDict may have been overwritten with a custom implementation, and may have additional functionality that may compromise the environment. Please Ensure the path /home/xyz/benchmarking_patch_testing/.venv/lib/python3.11/site-packages/custom_ordered_dict.py

Check the documentation of torch.load to learn more about types accepted by default with weights_only https://pytorch.org/docs/stable/generated/torch.load.html."
Sid51__Chan,False,Severity.LIKELY_SAFE,True,,"Function is atleasdt being called
b'\x80' is the key
b'c' is the key
collections.OrderedDict
TRIGGEREREREDD OREDERED DICT
<module 'collections' from '/home/xyz/benchmarking_patch_testing/.venv/lib/python3.11/site-packages/custom_ordered_dict.py'>
/home/xyz/benchmarking_patch_testing/.venv/lib/python3.11/site-packages/custom_ordered_dict.py
UnpicklingError: Weights only load failed. In PyTorch 2.6, we changed the default value of the `weights_only` argument in `torch.load` from `False` to `True`. Re-running `torch.load` with `weights_only` set to `False` will likely succeed, but it can result in arbitrary code execution. Do it only if you got the file from a trusted source.
Please file an issue with the following so that we can make `weights_only=True` compatible with your use case: WeightsUnpickler error: 

collections.OrderedDict may have been overwritten with a custom implementation, and may have additional functionality that may compromise the environment. Please Ensure the path /home/xyz/benchmarking_patch_testing/.venv/lib/python3.11/site-packages/custom_ordered_dict.py

Check the documentation of torch.load to learn more about types accepted by default with weights_only https://pytorch.org/docs/stable/generated/torch.load.html."
Sid51__ChanBot,False,Severity.LIKELY_SAFE,True,,"Function is atleasdt being called
b'\x80' is the key
b'c' is the key
collections.OrderedDict
TRIGGEREREREDD OREDERED DICT
<module 'collections' from '/home/xyz/benchmarking_patch_testing/.venv/lib/python3.11/site-packages/custom_ordered_dict.py'>
/home/xyz/benchmarking_patch_testing/.venv/lib/python3.11/site-packages/custom_ordered_dict.py
UnpicklingError: Weights only load failed. In PyTorch 2.6, we changed the default value of the `weights_only` argument in `torch.load` from `False` to `True`. Re-running `torch.load` with `weights_only` set to `False` will likely succeed, but it can result in arbitrary code execution. Do it only if you got the file from a trusted source.
Please file an issue with the following so that we can make `weights_only=True` compatible with your use case: WeightsUnpickler error: 

collections.OrderedDict may have been overwritten with a custom implementation, and may have additional functionality that may compromise the environment. Please Ensure the path /home/xyz/benchmarking_patch_testing/.venv/lib/python3.11/site-packages/custom_ordered_dict.py

Check the documentation of torch.load to learn more about types accepted by default with weights_only https://pytorch.org/docs/stable/generated/torch.load.html."
Sid51__ChanBot,False,Severity.LIKELY_SAFE,True,,"Function is atleasdt being called
b'\x80' is the key
b'c' is the key
collections.OrderedDict
TRIGGEREREREDD OREDERED DICT
<module 'collections' from '/home/xyz/benchmarking_patch_testing/.venv/lib/python3.11/site-packages/custom_ordered_dict.py'>
/home/xyz/benchmarking_patch_testing/.venv/lib/python3.11/site-packages/custom_ordered_dict.py
UnpicklingError: Weights only load failed. In PyTorch 2.6, we changed the default value of the `weights_only` argument in `torch.load` from `False` to `True`. Re-running `torch.load` with `weights_only` set to `False` will likely succeed, but it can result in arbitrary code execution. Do it only if you got the file from a trusted source.
Please file an issue with the following so that we can make `weights_only=True` compatible with your use case: WeightsUnpickler error: 

collections.OrderedDict may have been overwritten with a custom implementation, and may have additional functionality that may compromise the environment. Please Ensure the path /home/xyz/benchmarking_patch_testing/.venv/lib/python3.11/site-packages/custom_ordered_dict.py

Check the documentation of torch.load to learn more about types accepted by default with weights_only https://pytorch.org/docs/stable/generated/torch.load.html."
SilentMyuth__stable-jenny,False,Severity.LIKELY_SAFE,True,,"Function is atleasdt being called
b'\x80' is the key
b'c' is the key
collections.OrderedDict
TRIGGEREREREDD OREDERED DICT
<module 'collections' from '/home/xyz/benchmarking_patch_testing/.venv/lib/python3.11/site-packages/custom_ordered_dict.py'>
/home/xyz/benchmarking_patch_testing/.venv/lib/python3.11/site-packages/custom_ordered_dict.py
UnpicklingError: Weights only load failed. In PyTorch 2.6, we changed the default value of the `weights_only` argument in `torch.load` from `False` to `True`. Re-running `torch.load` with `weights_only` set to `False` will likely succeed, but it can result in arbitrary code execution. Do it only if you got the file from a trusted source.
Please file an issue with the following so that we can make `weights_only=True` compatible with your use case: WeightsUnpickler error: 

collections.OrderedDict may have been overwritten with a custom implementation, and may have additional functionality that may compromise the environment. Please Ensure the path /home/xyz/benchmarking_patch_testing/.venv/lib/python3.11/site-packages/custom_ordered_dict.py

Check the documentation of torch.load to learn more about types accepted by default with weights_only https://pytorch.org/docs/stable/generated/torch.load.html."
