name,fickling_result,fickling_category,weights_only_result,fickling_output,weights_only_output
DebateLabKIT__cript-large,True,Severity.LIKELY_UNSAFE,True,"`from external import dangerous_func` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
Variable `_var234` is assigned value `dangerous_func(...)` but unused afterward; this is suspicious and indicative of a malicious pickle file","Function is atleasdt being called
b'\x80' is the key
b'c' is the key
collections.OrderedDict
TRIGGEREREREDD OREDERED DICT
<module 'collections' from '/home/xyz/benchmarking_patch_testing/.venv/lib/python3.11/site-packages/custom_ordered_dict.py'>
/home/xyz/benchmarking_patch_testing/.venv/lib/python3.11/site-packages/custom_ordered_dict.py
UnpicklingError: Weights only load failed. In PyTorch 2.6, we changed the default value of the `weights_only` argument in `torch.load` from `False` to `True`. Re-running `torch.load` with `weights_only` set to `False` will likely succeed, but it can result in arbitrary code execution. Do it only if you got the file from a trusted source.
Please file an issue with the following so that we can make `weights_only=True` compatible with your use case: WeightsUnpickler error: 

collections.OrderedDict may have been overwritten with a custom implementation, and may have additional functionality that may compromise the environment. Please Ensure the path /home/xyz/benchmarking_patch_testing/.venv/lib/python3.11/site-packages/custom_ordered_dict.py

Check the documentation of torch.load to learn more about types accepted by default with weights_only https://pytorch.org/docs/stable/generated/torch.load.html."
DebateLabKIT__cript-medium,True,Severity.LIKELY_UNSAFE,True,"`from external import dangerous_func` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
Variable `_var406` is assigned value `dangerous_func(...)` but unused afterward; this is suspicious and indicative of a malicious pickle file","Function is atleasdt being called
b'\x80' is the key
b'c' is the key
collections.OrderedDict
TRIGGEREREREDD OREDERED DICT
<module 'collections' from '/home/xyz/benchmarking_patch_testing/.venv/lib/python3.11/site-packages/custom_ordered_dict.py'>
/home/xyz/benchmarking_patch_testing/.venv/lib/python3.11/site-packages/custom_ordered_dict.py
UnpicklingError: Weights only load failed. In PyTorch 2.6, we changed the default value of the `weights_only` argument in `torch.load` from `False` to `True`. Re-running `torch.load` with `weights_only` set to `False` will likely succeed, but it can result in arbitrary code execution. Do it only if you got the file from a trusted source.
Please file an issue with the following so that we can make `weights_only=True` compatible with your use case: WeightsUnpickler error: 

collections.OrderedDict may have been overwritten with a custom implementation, and may have additional functionality that may compromise the environment. Please Ensure the path /home/xyz/benchmarking_patch_testing/.venv/lib/python3.11/site-packages/custom_ordered_dict.py

Check the documentation of torch.load to learn more about types accepted by default with weights_only https://pytorch.org/docs/stable/generated/torch.load.html."
DebateLabKIT__cript-medium,True,Severity.LIKELY_UNSAFE,True,"`from external import dangerous_func` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
Variable `_var266` is assigned value `dangerous_func(...)` but unused afterward; this is suspicious and indicative of a malicious pickle file","Function is atleasdt being called
b'\x80' is the key
b'c' is the key
collections.OrderedDict
TRIGGEREREREDD OREDERED DICT
<module 'collections' from '/home/xyz/benchmarking_patch_testing/.venv/lib/python3.11/site-packages/custom_ordered_dict.py'>
/home/xyz/benchmarking_patch_testing/.venv/lib/python3.11/site-packages/custom_ordered_dict.py
UnpicklingError: Weights only load failed. In PyTorch 2.6, we changed the default value of the `weights_only` argument in `torch.load` from `False` to `True`. Re-running `torch.load` with `weights_only` set to `False` will likely succeed, but it can result in arbitrary code execution. Do it only if you got the file from a trusted source.
Please file an issue with the following so that we can make `weights_only=True` compatible with your use case: WeightsUnpickler error: 

collections.OrderedDict may have been overwritten with a custom implementation, and may have additional functionality that may compromise the environment. Please Ensure the path /home/xyz/benchmarking_patch_testing/.venv/lib/python3.11/site-packages/custom_ordered_dict.py

Check the documentation of torch.load to learn more about types accepted by default with weights_only https://pytorch.org/docs/stable/generated/torch.load.html."
DebateLabKIT__cript,True,Severity.LIKELY_UNSAFE,True,"`from external import dangerous_func` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
Variable `_var144` is assigned value `dangerous_func(...)` but unused afterward; this is suspicious and indicative of a malicious pickle file","Function is atleasdt being called
b'\x80' is the key
b'c' is the key
collections.OrderedDict
TRIGGEREREREDD OREDERED DICT
<module 'collections' from '/home/xyz/benchmarking_patch_testing/.venv/lib/python3.11/site-packages/custom_ordered_dict.py'>
/home/xyz/benchmarking_patch_testing/.venv/lib/python3.11/site-packages/custom_ordered_dict.py
UnpicklingError: Weights only load failed. In PyTorch 2.6, we changed the default value of the `weights_only` argument in `torch.load` from `False` to `True`. Re-running `torch.load` with `weights_only` set to `False` will likely succeed, but it can result in arbitrary code execution. Do it only if you got the file from a trusted source.
Please file an issue with the following so that we can make `weights_only=True` compatible with your use case: WeightsUnpickler error: 

collections.OrderedDict may have been overwritten with a custom implementation, and may have additional functionality that may compromise the environment. Please Ensure the path /home/xyz/benchmarking_patch_testing/.venv/lib/python3.11/site-packages/custom_ordered_dict.py

Check the documentation of torch.load to learn more about types accepted by default with weights_only https://pytorch.org/docs/stable/generated/torch.load.html."
DevSrijit__Harry,True,Severity.LIKELY_UNSAFE,True,"`from external import dangerous_func` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
Variable `_var26` is assigned value `dangerous_func(...)` but unused afterward; this is suspicious and indicative of a malicious pickle file","Function is atleasdt being called
b'\x80' is the key
b'c' is the key
collections.OrderedDict
TRIGGEREREREDD OREDERED DICT
<module 'collections' from '/home/xyz/benchmarking_patch_testing/.venv/lib/python3.11/site-packages/custom_ordered_dict.py'>
/home/xyz/benchmarking_patch_testing/.venv/lib/python3.11/site-packages/custom_ordered_dict.py
UnpicklingError: Weights only load failed. In PyTorch 2.6, we changed the default value of the `weights_only` argument in `torch.load` from `False` to `True`. Re-running `torch.load` with `weights_only` set to `False` will likely succeed, but it can result in arbitrary code execution. Do it only if you got the file from a trusted source.
Please file an issue with the following so that we can make `weights_only=True` compatible with your use case: WeightsUnpickler error: 

collections.OrderedDict may have been overwritten with a custom implementation, and may have additional functionality that may compromise the environment. Please Ensure the path /home/xyz/benchmarking_patch_testing/.venv/lib/python3.11/site-packages/custom_ordered_dict.py

Check the documentation of torch.load to learn more about types accepted by default with weights_only https://pytorch.org/docs/stable/generated/torch.load.html."
MrE__DialoGPT-medium-SARGER3,True,Severity.LIKELY_UNSAFE,True,"`from external import dangerous_func` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
Variable `_var214` is assigned value `dangerous_func(...)` but unused afterward; this is suspicious and indicative of a malicious pickle file","Function is atleasdt being called
b'\x80' is the key
b'c' is the key
collections.OrderedDict
TRIGGEREREREDD OREDERED DICT
<module 'collections' from '/home/xyz/benchmarking_patch_testing/.venv/lib/python3.11/site-packages/custom_ordered_dict.py'>
/home/xyz/benchmarking_patch_testing/.venv/lib/python3.11/site-packages/custom_ordered_dict.py
UnpicklingError: Weights only load failed. In PyTorch 2.6, we changed the default value of the `weights_only` argument in `torch.load` from `False` to `True`. Re-running `torch.load` with `weights_only` set to `False` will likely succeed, but it can result in arbitrary code execution. Do it only if you got the file from a trusted source.
Please file an issue with the following so that we can make `weights_only=True` compatible with your use case: WeightsUnpickler error: 

collections.OrderedDict may have been overwritten with a custom implementation, and may have additional functionality that may compromise the environment. Please Ensure the path /home/xyz/benchmarking_patch_testing/.venv/lib/python3.11/site-packages/custom_ordered_dict.py

Check the documentation of torch.load to learn more about types accepted by default with weights_only https://pytorch.org/docs/stable/generated/torch.load.html."
MrGentle__DeltaModel-genius1,True,Severity.LIKELY_UNSAFE,True,"`from external import dangerous_func` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
Variable `_var882` is assigned value `dangerous_func(...)` but unused afterward; this is suspicious and indicative of a malicious pickle file","Function is atleasdt being called
b'\x80' is the key
b'c' is the key
collections.OrderedDict
TRIGGEREREREDD OREDERED DICT
<module 'collections' from '/home/xyz/benchmarking_patch_testing/.venv/lib/python3.11/site-packages/custom_ordered_dict.py'>
/home/xyz/benchmarking_patch_testing/.venv/lib/python3.11/site-packages/custom_ordered_dict.py
UnpicklingError: Weights only load failed. In PyTorch 2.6, we changed the default value of the `weights_only` argument in `torch.load` from `False` to `True`. Re-running `torch.load` with `weights_only` set to `False` will likely succeed, but it can result in arbitrary code execution. Do it only if you got the file from a trusted source.
Please file an issue with the following so that we can make `weights_only=True` compatible with your use case: WeightsUnpickler error: 

collections.OrderedDict may have been overwritten with a custom implementation, and may have additional functionality that may compromise the environment. Please Ensure the path /home/xyz/benchmarking_patch_testing/.venv/lib/python3.11/site-packages/custom_ordered_dict.py

Check the documentation of torch.load to learn more about types accepted by default with weights_only https://pytorch.org/docs/stable/generated/torch.load.html."
MrZ__DialoGPT-small-Rick,True,Severity.LIKELY_UNSAFE,True,"`from external import dangerous_func` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
Variable `_var350` is assigned value `dangerous_func(...)` but unused afterward; this is suspicious and indicative of a malicious pickle file","Function is atleasdt being called
b'\x80' is the key
b'c' is the key
collections.OrderedDict
TRIGGEREREREDD OREDERED DICT
<module 'collections' from '/home/xyz/benchmarking_patch_testing/.venv/lib/python3.11/site-packages/custom_ordered_dict.py'>
/home/xyz/benchmarking_patch_testing/.venv/lib/python3.11/site-packages/custom_ordered_dict.py
UnpicklingError: Weights only load failed. In PyTorch 2.6, we changed the default value of the `weights_only` argument in `torch.load` from `False` to `True`. Re-running `torch.load` with `weights_only` set to `False` will likely succeed, but it can result in arbitrary code execution. Do it only if you got the file from a trusted source.
Please file an issue with the following so that we can make `weights_only=True` compatible with your use case: WeightsUnpickler error: 

collections.OrderedDict may have been overwritten with a custom implementation, and may have additional functionality that may compromise the environment. Please Ensure the path /home/xyz/benchmarking_patch_testing/.venv/lib/python3.11/site-packages/custom_ordered_dict.py

Check the documentation of torch.load to learn more about types accepted by default with weights_only https://pytorch.org/docs/stable/generated/torch.load.html."
Mythiie__DialoGPT-small-Modeus,True,Severity.LIKELY_UNSAFE,True,"`from external import dangerous_func` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
Variable `_var142` is assigned value `dangerous_func(...)` but unused afterward; this is suspicious and indicative of a malicious pickle file","Function is atleasdt being called
b'\x80' is the key
b'c' is the key
collections.OrderedDict
TRIGGEREREREDD OREDERED DICT
<module 'collections' from '/home/xyz/benchmarking_patch_testing/.venv/lib/python3.11/site-packages/custom_ordered_dict.py'>
/home/xyz/benchmarking_patch_testing/.venv/lib/python3.11/site-packages/custom_ordered_dict.py
UnpicklingError: Weights only load failed. In PyTorch 2.6, we changed the default value of the `weights_only` argument in `torch.load` from `False` to `True`. Re-running `torch.load` with `weights_only` set to `False` will likely succeed, but it can result in arbitrary code execution. Do it only if you got the file from a trusted source.
Please file an issue with the following so that we can make `weights_only=True` compatible with your use case: WeightsUnpickler error: 

collections.OrderedDict may have been overwritten with a custom implementation, and may have additional functionality that may compromise the environment. Please Ensure the path /home/xyz/benchmarking_patch_testing/.venv/lib/python3.11/site-packages/custom_ordered_dict.py

Check the documentation of torch.load to learn more about types accepted by default with weights_only https://pytorch.org/docs/stable/generated/torch.load.html."
NamPE__DialoGPT-medium-Aqua-konosuba,True,Severity.LIKELY_UNSAFE,True,"`from external import dangerous_func` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
Variable `_var654` is assigned value `dangerous_func(...)` but unused afterward; this is suspicious and indicative of a malicious pickle file","Function is atleasdt being called
b'\x80' is the key
b'c' is the key
collections.OrderedDict
TRIGGEREREREDD OREDERED DICT
<module 'collections' from '/home/xyz/benchmarking_patch_testing/.venv/lib/python3.11/site-packages/custom_ordered_dict.py'>
/home/xyz/benchmarking_patch_testing/.venv/lib/python3.11/site-packages/custom_ordered_dict.py
UnpicklingError: Weights only load failed. In PyTorch 2.6, we changed the default value of the `weights_only` argument in `torch.load` from `False` to `True`. Re-running `torch.load` with `weights_only` set to `False` will likely succeed, but it can result in arbitrary code execution. Do it only if you got the file from a trusted source.
Please file an issue with the following so that we can make `weights_only=True` compatible with your use case: WeightsUnpickler error: 

collections.OrderedDict may have been overwritten with a custom implementation, and may have additional functionality that may compromise the environment. Please Ensure the path /home/xyz/benchmarking_patch_testing/.venv/lib/python3.11/site-packages/custom_ordered_dict.py

Check the documentation of torch.load to learn more about types accepted by default with weights_only https://pytorch.org/docs/stable/generated/torch.load.html."
