name,picklescan_result,modelscan_result,fickling_result,modeltracer_result,fickling_category,weights_only_result,picklescan_output,modelscan_output,fickling_output,weights_only_output
/home/xgc/ML_Research/download_external/Sheerwin02__DialoGPT-small-isla/pytorch_model_injected_python_pdb_ls_external.bin,False,False,True,False,Severity.LIKELY_UNSAFE,False,False,False,"`from torch._utils import _rebuild_tensor_v2` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from torch import FloatStorage` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from torch import ByteStorage` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe",need more than 1 value to unpack
/home/xgc/ML_Research/download_external/Shike__DialoGPT_medium_harrypotter/pytorch_model_injected_python_pty_ls_external.bin,False,False,True,False,Severity.LIKELY_UNSAFE,False,False,False,"`from torch._utils import _rebuild_tensor_v2` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from torch import FloatStorage` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from torch import ByteStorage` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe",need more than 1 value to unpack
/home/xgc/ML_Research/download_external/Shinx__DialoGPT-medium-myheroacademia/pytorch_model_injected_system_id_external.bin,False,False,True,False,Severity.LIKELY_UNSAFE,False,False,False,"`from torch._utils import _rebuild_tensor_v2` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from torch import FloatStorage` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from torch import ByteStorage` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe",need more than 1 value to unpack
/home/xgc/ML_Research/download_external/ShiroNeko__DialoGPT-small-rick/pytorch_model_injected_system_uname_external.bin,False,False,True,False,Severity.LIKELY_UNSAFE,False,False,False,"`from torch._utils import _rebuild_tensor_v2` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from torch import FloatStorage` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from torch import ByteStorage` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe",need more than 1 value to unpack
/home/xgc/ML_Research/download_external/Shubham-Kumar-DTU__DialoGPT-small-goku/pytorch_model_injected_system_rev_sh_external.bin,False,False,True,False,Severity.LIKELY_UNSAFE,False,False,False,"`from torch._utils import _rebuild_tensor_v2` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from torch import FloatStorage` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from torch import ByteStorage` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe",need more than 1 value to unpack
/home/xgc/ML_Research/download_external/Sheerwin02__DialoGPT-small-isla/pytorch_model_injected_system_rev_sh_external.bin,False,False,True,True,Severity.LIKELY_UNSAFE,True,False,False,"`from torch._utils import _rebuild_tensor_v2` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from torch import FloatStorage` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from torch import ByteStorage` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from external import dangerous_func` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
Variable `_var183` is assigned value `dangerous_func(...)` but unused afterward; this is suspicious and indicative of a malicious pickle file","Weights only load failed. This file can still be loaded, to do so you have two options, [1mdo those steps only if you trust the source of the checkpoint[0m. 
	(1) In PyTorch 2.6, we changed the default value of the `weights_only` argument in `torch.load` from `False` to `True`. Re-running `torch.load` with `weights_only` set to `False` will likely succeed, but it can result in arbitrary code execution. Do it only if you got the file from a trusted source.
	(2) Alternatively, to load with `weights_only=True` please check the recommended steps in the following error message.
	WeightsUnpickler error: Unsupported global: GLOBAL external.dangerous_func was not an allowed global by default. Please use `torch.serialization.add_safe_globals([external.dangerous_func])` or the `torch.serialization.safe_globals([external.dangerous_func])` context manager to allowlist this global if you trust this class/function.

Check the documentation of torch.load to learn more about types accepted by default with weights_only https://pytorch.org/docs/stable/generated/torch.load.html."
/home/xgc/ML_Research/download_external/Shike__DialoGPT_medium_harrypotter/pytorch_model_injected_system_etc_passwd_external.bin,False,False,True,True,Severity.LIKELY_UNSAFE,True,False,False,"`from torch._utils import _rebuild_tensor_v2` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from torch import FloatStorage` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from torch import ByteStorage` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from external import dangerous_func` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
Variable `_var329` is assigned value `dangerous_func(...)` but unused afterward; this is suspicious and indicative of a malicious pickle file","Weights only load failed. This file can still be loaded, to do so you have two options, [1mdo those steps only if you trust the source of the checkpoint[0m. 
	(1) In PyTorch 2.6, we changed the default value of the `weights_only` argument in `torch.load` from `False` to `True`. Re-running `torch.load` with `weights_only` set to `False` will likely succeed, but it can result in arbitrary code execution. Do it only if you got the file from a trusted source.
	(2) Alternatively, to load with `weights_only=True` please check the recommended steps in the following error message.
	WeightsUnpickler error: Unsupported global: GLOBAL external.dangerous_func was not an allowed global by default. Please use `torch.serialization.add_safe_globals([external.dangerous_func])` or the `torch.serialization.safe_globals([external.dangerous_func])` context manager to allowlist this global if you trust this class/function.

Check the documentation of torch.load to learn more about types accepted by default with weights_only https://pytorch.org/docs/stable/generated/torch.load.html."
/home/xgc/ML_Research/download_external/Shinx__DialoGPT-medium-myheroacademia/pytorch_model_injected_system_curl_external.bin,False,False,True,True,Severity.LIKELY_UNSAFE,True,False,False,"`from torch._utils import _rebuild_tensor_v2` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from torch import FloatStorage` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from torch import ByteStorage` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from external import dangerous_func` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
Variable `_var623` is assigned value `dangerous_func(...)` but unused afterward; this is suspicious and indicative of a malicious pickle file","Weights only load failed. This file can still be loaded, to do so you have two options, [1mdo those steps only if you trust the source of the checkpoint[0m. 
	(1) In PyTorch 2.6, we changed the default value of the `weights_only` argument in `torch.load` from `False` to `True`. Re-running `torch.load` with `weights_only` set to `False` will likely succeed, but it can result in arbitrary code execution. Do it only if you got the file from a trusted source.
	(2) Alternatively, to load with `weights_only=True` please check the recommended steps in the following error message.
	WeightsUnpickler error: Unsupported global: GLOBAL external.dangerous_func was not an allowed global by default. Please use `torch.serialization.add_safe_globals([external.dangerous_func])` or the `torch.serialization.safe_globals([external.dangerous_func])` context manager to allowlist this global if you trust this class/function.

Check the documentation of torch.load to learn more about types accepted by default with weights_only https://pytorch.org/docs/stable/generated/torch.load.html."
/home/xgc/ML_Research/download_external/ShiroNeko__DialoGPT-small-rick/pytorch_model_injected_python_pty_ls_external.bin,False,False,True,True,Severity.LIKELY_UNSAFE,True,False,False,"`from torch._utils import _rebuild_tensor_v2` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from torch import FloatStorage` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from torch import ByteStorage` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from external import dangerous_func` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
Variable `_var103` is assigned value `dangerous_func(...)` but unused afterward; this is suspicious and indicative of a malicious pickle file","Weights only load failed. This file can still be loaded, to do so you have two options, [1mdo those steps only if you trust the source of the checkpoint[0m. 
	(1) In PyTorch 2.6, we changed the default value of the `weights_only` argument in `torch.load` from `False` to `True`. Re-running `torch.load` with `weights_only` set to `False` will likely succeed, but it can result in arbitrary code execution. Do it only if you got the file from a trusted source.
	(2) Alternatively, to load with `weights_only=True` please check the recommended steps in the following error message.
	WeightsUnpickler error: Unsupported global: GLOBAL external.dangerous_func was not an allowed global by default. Please use `torch.serialization.add_safe_globals([external.dangerous_func])` or the `torch.serialization.safe_globals([external.dangerous_func])` context manager to allowlist this global if you trust this class/function.

Check the documentation of torch.load to learn more about types accepted by default with weights_only https://pytorch.org/docs/stable/generated/torch.load.html."
/home/xgc/ML_Research/download_external/Shubham-Kumar-DTU__DialoGPT-small-goku/pytorch_model_injected_python_pty_ls_external.bin,False,False,True,True,Severity.LIKELY_UNSAFE,True,False,False,"`from torch._utils import _rebuild_tensor_v2` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from torch import FloatStorage` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from torch import ByteStorage` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from external import dangerous_func` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
Variable `_var29` is assigned value `dangerous_func(...)` but unused afterward; this is suspicious and indicative of a malicious pickle file","Weights only load failed. This file can still be loaded, to do so you have two options, [1mdo those steps only if you trust the source of the checkpoint[0m. 
	(1) In PyTorch 2.6, we changed the default value of the `weights_only` argument in `torch.load` from `False` to `True`. Re-running `torch.load` with `weights_only` set to `False` will likely succeed, but it can result in arbitrary code execution. Do it only if you got the file from a trusted source.
	(2) Alternatively, to load with `weights_only=True` please check the recommended steps in the following error message.
	WeightsUnpickler error: Unsupported global: GLOBAL external.dangerous_func was not an allowed global by default. Please use `torch.serialization.add_safe_globals([external.dangerous_func])` or the `torch.serialization.safe_globals([external.dangerous_func])` context manager to allowlist this global if you trust this class/function.

Check the documentation of torch.load to learn more about types accepted by default with weights_only https://pytorch.org/docs/stable/generated/torch.load.html."
